;OpenOBJs Object v1.00							
;This Object's License is GNU GPL Version 2 or later							
;Copyright(C) 2014 Midnight Express Ginga81(ginga81)							
;基準開始位置		-0.45	m				
AddFace,	7	,	20	,	21	,	8
AddFace,	8	,	21	,	22	,	9
AddFace,	9	,	22	,	23	,	10
AddFace,	10	,	23	,	24	,	11
AddFace,	11	,	24	,	25	,	12
GenerateNormals							
LoadTexture ,tread.bmp							
SetTextureCoordinates,	0	,	0	,	0		
SetTextureCoordinates,	1	,	0.083333	,	0		
SetTextureCoordinates,	2	,	0.166666	,	0		
SetTextureCoordinates,	3	,	0.249999	,	0		
SetTextureCoordinates,	4	,	0.333332	,	0		
SetTextureCoordinates,	5	,	0.416665	,	0		
SetTextureCoordinates,	6	,	0.499998	,	0		
SetTextureCoordinates,	7	,	0.583331	,	0		
SetTextureCoordinates,	8	,	0.666664	,	0		
SetTextureCoordinates,	9	,	0.749997	,	0		
SetTextureCoordinates,	10	,	0.83333	,	0		
SetTextureCoordinates,	11	,	0.916663	,	0		
SetTextureCoordinates,	12	,	1	,	0		
SetTextureCoordinates,	13	,	0	,	1		
SetTextureCoordinates,	14	,	0.083333	,	1		
SetTextureCoordinates,	15	,	0.166666	,	1		
SetTextureCoordinates,	16	,	0.249999	,	1		
SetTextureCoordinates,	17	,	0.333332	,	1		
SetTextureCoordinates,	18	,	0.416665	,	1		
SetTextureCoordinates,	19	,	0.499998	,	1		
SetTextureCoordinates,	20	,	0.583331	,	1		
SetTextureCoordinates,	21	,	0.666664	,	1		
SetTextureCoordinates,	22	,	0.749997	,	1		
SetTextureCoordinates,	23	,	0.83333	,	1		
SetTextureCoordinates,	24	,	0.916663	,	1		
SetTextureCoordinates,	25	,	1	,	1		
CreateMeshBuilder							
Addvertex,	-0.4885	,	-0.0150	,	2.2075		
Addvertex,	-0.4885	,	0.0094	,	2.0224		
Addvertex,	-0.4885	,	0.0808	,	1.8500		
Addvertex,	-0.4885	,	0.1944	,	1.7019		
Addvertex,	-0.4885	,	0.3425	,	1.5883		
Addvertex,	-0.4885	,	0.5149	,	1.5169		
Addvertex,	-0.4885	,	0.7000	,	1.4925		
Addvertex,	-0.4885	,	0.8851	,	1.5169		
Addvertex,	-0.4885	,	1.0575	,	1.5883		
Addvertex,	-0.4885	,	1.2056	,	1.7019		
Addvertex,	-0.4885	,	1.3192	,	1.8500		
Addvertex,	-0.4885	,	1.3906	,	2.0224		
Addvertex,	-0.4885	,	1.4150	,	2.2075		
Addvertex,	-0.5685	,	0.0000	,	2.2075		
Addvertex,	-0.5685	,	0.0239	,	2.0263		
Addvertex,	-0.5685	,	0.0938	,	1.8575		
Addvertex,	-0.5685	,	0.2050	,	1.7125		
Addvertex,	-0.5685	,	0.3500	,	1.6013		
Addvertex,	-0.5685	,	0.5188	,	1.5314		
Addvertex,	-0.5685	,	0.7000	,	1.5075		
Addvertex,	-0.5685	,	0.8812	,	1.5314		
Addvertex,	-0.5685	,	1.0500	,	1.6013		
Addvertex,	-0.5685	,	1.1950	,	1.7125		
Addvertex,	-0.5685	,	1.3062	,	1.8575		
Addvertex,	-0.5685	,	1.3761	,	2.0263		
Addvertex,	-0.5685	,	1.4000	,	2.2075		
AddFace,	0	,	13	,	14	,	1
AddFace,	1	,	14	,	15	,	2
AddFace,	2	,	15	,	16	,	3
AddFace,	3	,	16	,	17	,	4
AddFace,	4	,	17	,	18	,	5
AddFace,	5	,	18	,	19	,	6
AddFace,	6	,	19	,	20	,	7
AddFace,	7	,	20	,	21	,	8
AddFace,	8	,	21	,	22	,	9
AddFace,	9	,	22	,	23	,	10
AddFace,	10	,	23	,	24	,	11
AddFace,	11	,	24	,	25	,	12
GenerateNormals							
LoadTexture ,tread.bmp							
SetTextureCoordinates,	0	,	0	,	0		
SetTextureCoordinates,	1	,	0.083333	,	0		
SetTextureCoordinates,	2	,	0.166666	,	0		
SetTextureCoordinates,	3	,	0.249999	,	0		
SetTextureCoordinates,	4	,	0.333332	,	0		
SetTextureCoordinates,	5	,	0.416665	,	0		
SetTextureCoordinates,	6	,	0.499998	,	0		
SetTextureCoordinates,	7	,	0.583331	,	0		
SetTextureCoordinates,	8	,	0.666664	,	0		
SetTextureCoordinates,	9	,	0.749997	,	0		
SetTextureCoordinates,	10	,	0.83333	,	0		
SetTextureCoordinates,	11	,	0.916663	,	0		
SetTextureCoordinates,	12	,	1	,	0		
SetTextureCoordinates,	13	,	0	,	1		
SetTextureCoordinates,	14	,	0.083333	,	1		
SetTextureCoordinates,	15	,	0.166666	,	1		
SetTextureCoordinates,	16	,	0.249999	,	1		
SetTextureCoordinates,	17	,	0.333332	,	1		
SetTextureCoordinates,	18	,	0.416665	,	1		
SetTextureCoordinates,	19	,	0.499998	,	1		
SetTextureCoordinates,	20	,	0.583331	,	1		
SetTextureCoordinates,	21	,	0.666664	,	1		
SetTextureCoordinates,	22	,	0.749997	,	1		
SetTextureCoordinates,	23	,	0.83333	,	1		
SetTextureCoordinates,	24	,	0.916663	,	1		
SetTextureCoordinates,	25	,	1	,	1		
;フランジ	高さ	0.05					
CreateMeshBuilder							
Addvertex,	-0.4885	,	1.4650	,	2.2075		
Addvertex,	-0.4885	,	1.4389	,	2.4016		
Addvertex,	-0.4885	,	1.3625	,	2.5825		
Addvertex,	-0.4885	,	1.2409	,	2.7378		
Addvertex,	-0.4885	,	1.0825	,	2.8570		
Addvertex,	-0.4885	,	0.8980	,	2.9319		
Addvertex,	-0.4885	,	0.7000	,	2.9575		
Addvertex,	-0.4885	,	0.5020	,	2.9319		
Addvertex,	-0.4885	,	0.3175	,	2.8570		
Addvertex,	-0.4885	,	0.1591	,	2.7378		
Addvertex,	-0.4885	,	0.0375	,	2.5825		
Addvertex,	-0.4885	,	-0.0389	,	2.4016		
Addvertex,	-0.4885	,	-0.0650	,	2.2075		
Addvertex,	-0.4885	,	1.4150	,	2.2075		
Addvertex,	-0.4885	,	1.3906	,	2.3887		
Addvertex,	-0.4885	,	1.3192	,	2.5575		
Addvertex,	-0.4885	,	1.2056	,	2.7025		
Addvertex,	-0.4885	,	1.0575	,	2.8137		
Addvertex,	-0.4885	,	0.8851	,	2.8836		
Addvertex,	-0.4885	,	0.7000	,	2.9075		
Addvertex,	-0.4885	,	0.5149	,	2.8836		
Addvertex,	-0.4885	,	0.3425	,	2.8137		
Addvertex,	-0.4885	,	0.1944	,	2.7025		
Addvertex,	-0.4885	,	0.0808	,	2.5575		
Addvertex,	-0.4885	,	0.0094	,	2.3887		
Addvertex,	-0.4885	,	-0.0150	,	2.2075		
AddFace2,	0	,	13	,	14	,	1
AddFace2,	1	,	14	,	15	,	2
AddFace2,	2	,	15	,	16	,	3
AddFace2,	3	,	16	,	17	,	4
AddFace2,	4	,	17	,	18	,	5
AddFace2,	5	,	18	,	19	,	6
AddFace2,	6	,	19	,	20	,	7
AddFace2,	7	,	20	,	21	,	8
AddFace2,	8	,	21	,	22	,	9
AddFace2,	9	,	22	,	23	,	10
AddFace2,	10	,	23	,	24	,	11
AddFace2,	11	,	24	,	25	,	12
GenerateNormals							
LoadTexture ,tread.bmp							
SetTextureCoordinates,	0	,	0	,	0		
SetTextureCoordinates,	1	,	0.083333	,	0		
SetTextureCoordinates,	2	,	0.166666	,	0		
SetTextureCoordinates,	3	,	0.249999	,	0		
SetTextureCoordinates,	4	,	0.333332	,	0		
SetTextureCoordinates,	5	,	0.416665	,	0		
SetTextureCoordinates,	6	,	0.499998	,	0		
SetTextureCoordinates,	7	,	0.583331	,	0		
SetTextureCoordinates,	8	,	0.666664	,	0		
SetTextureCoordinates,	9	,	0.749997	,	0		
SetTextureCoordinates,	10	,	0.83333	,	0		
SetTextureCoordinates,	11	,	0.916663	,	0		
SetTextureCoordinates,	12	,	1	,	0		
SetTextureCoordinates,	13	,	0	,	1		
SetTextureCoordinates,	14	,	0.083333	,	1		
SetTextureCoordinates,	15	,	0.166666	,	1		
SetTextureCoordinates,	16	,	0.249999	,	1		
SetTextureCoordinates,	17	,	0.333332	,	1		
SetTextureCoordinates,	18	,	0.416665	,	1		
SetTextureCoordinates,	19	,	0.499998	,	1		
SetTextureCoordinates,	20	,	0.583331	,	1		
SetTextureCoordinates,	21	,	0.666664	,	1		
SetTextureCoordinates,	22	,	0.749997	,	1		
SetTextureCoordinates,	23	,	0.83333	,	1		
SetTextureCoordinates,	24	,	0.916663	,	1		
SetTextureCoordinates,	25	,	1	,	1		
CreateMeshBuilder							
Addvertex,	-0.4885	,	-0.0650	,	2.2075		
Addvertex,	-0.4885	,	-0.0389	,	2.0134		
Addvertex,	-0.4885	,	0.0375	,	1.8325		
Addvertex,	-0.4885	,	0.1591	,	1.6772		
Addvertex,	-0.4885	,	0.3175	,	1.5580		
Addvertex,	-0.4885	,	0.5020	,	1.4831		
Addvertex,	-0.4885	,	0.7000	,	1.4575		
Addvertex,	-0.4885	,	0.8980	,	1.4831		
Addvertex,	-0.4885	,	1.0825	,	1.5580		
Addvertex,	-0.4885	,	1.2409	,	1.6772		
Addvertex,	-0.4885	,	1.3625	,	1.8325		
Addvertex,	-0.4885	,	1.4389	,	2.0134		
Addvertex,	-0.4885	,	1.4650	,	2.2075		
Addvertex,	-0.4885	,	-0.0150	,	2.2075		
Addvertex,	-0.4885	,	0.0094	,	2.0263		
Addvertex,	-0.4885	,	0.0808	,	1.8575		
Addvertex,	-0.4885	,	0.1944	,	1.7125		
Addvertex,	-0.4885	,	0.3425	,	1.6013		
Addvertex,	-0.4885	,	0.5149	,	1.5314		
Addvertex,	-0.4885	,	0.7000	,	1.5075		
Addvertex,	-0.4885	,	0.8851	,	1.5314		
Addvertex,	-0.4885	,	1.0575	,	1.6013		
Addvertex,	-0.4885	,	1.2056	,	1.7125		
Addvertex,	-0.4885	,	1.3192	,	1.8575		
Addvertex,	-0.4885	,	1.3906	,	2.0263		
Addvertex,	-0.4885	,	1.4150	,	2.2075		
AddFace2,	0	,	13	,	14	,	1
AddFace2,	1	,	14	,	15	,	2
AddFace2,	2	,	15	,	16	,	3
AddFace2,	3	,	16	,	17	,	4
AddFace2,	4	,	17	,	18	,	5
AddFace2,	5	,	18	,	19	,	6
AddFace2,	6	,	19	,	20	,	7
AddFace2,	7	,	20	,	21	,	8
AddFace2,	8	,	21	,	22	,	9
AddFace2,	9	,	22	,	23	,	10
AddFace2,	10	,	23	,	24	,	11
AddFace2,	11	,	24	,	25	,	12
GenerateNormals							
LoadTexture ,tread.bmp							
SetTextureCoordinates,	0	,	0	,	0		
SetTextureCoordinates,	1	,	0.083333	,	0		
SetTextureCoordinates,	2	,	0.166666	,	0		
SetTextureCoordinates,	3	,	0.249999	,	0		
SetTextureCoordinates,	4	,	0.333332	,	0		
SetTextureCoordinates,	5	,	0.416665	,	0		
SetTextureCoordinates,	6	,	0.499998	,	0		
SetTextureCoordinates,	7	,	0.583331	,	0		
SetTextureCoordinates,	8	,	0.666664	,	0		
SetTextureCoordinates,	9	,	0.749997	,	0		
SetTextureCoordinates,	10	,	0.83333	,	0		
SetTextureCoordinates,	11	,	0.916663	,	0		
SetTextureCoordinates,	12	,	1	,	0		
SetTextureCoordinates,	13	,	0	,	1		
SetTextureCoordinates,	14	,	0.083333	,	1		
SetTextureCoordinates,	15	,	0.166666	,	1		
SetTextureCoordinates,	16	,	0.249999	,	1		
SetTextureCoordinates,	17	,	0.333332	,	1		
SetTextureCoordinates,	18	,	0.416665	,	1		
SetTextureCoordinates,	19	,	0.499998	,	1		
SetTextureCoordinates,	20	,	0.583331	,	1		
SetTextureCoordinates,	21	,	0.666664	,	1		
SetTextureCoordinates,	22	,	0.749997	,	1		
SetTextureCoordinates,	23	,	0.83333	,	1		
SetTextureCoordinates,	24	,	0.916663	,	1		
SetTextureCoordinates,	25	,	1	,	1		
;第四動輪							
;開始位置:	2.6575	半径	0.715	m	高さ	0.08	m
;開始高さ:	0.5685	下の半径	0.7	m			
CreateMeshBuilder							
Addvertex,	0.4885	,	-0.0150	,	2.2075		
Addvertex,	0.4885	,	0.0094	,	2.3926		
Addvertex,	0.4885	,	0.0808	,	2.5650		
Addvertex,	0.4885	,	0.1944	,	2.7131		
Addvertex,	0.4885	,	0.3425	,	2.8267		
Addvertex,	0.4885	,	0.5149	,	2.8981		
Addvertex,	0.4885	,	0.7000	,	2.9225		
Addvertex,	0.4885	,	0.8851	,	2.8981		
Addvertex,	0.4885	,	1.0575	,	2.8267		
Addvertex,	0.4885	,	1.2056	,	2.7131		
Addvertex,	0.4885	,	1.3192	,	2.5650		
Addvertex,	0.4885	,	1.3906	,	2.3926		
Addvertex,	0.4885	,	1.4150	,	2.2075		
Addvertex,	0.5685	,	0.0000	,	2.2075		
Addvertex,	0.5685	,	0.0239	,	2.3887		
Addvertex,	0.5685	,	0.0938	,	2.5575		
Addvertex,	0.5685	,	0.2050	,	2.7025		
Addvertex,	0.5685	,	0.3500	,	2.8137		
Addvertex,	0.5685	,	0.5188	,	2.8836		
Addvertex,	0.5685	,	0.7000	,	2.9075		
Addvertex,	0.5685	,	0.8812	,	2.8836		
Addvertex,	0.5685	,	1.0500	,	2.8137		
Addvertex,	0.5685	,	1.1950	,	2.7025		
Addvertex,	0.5685	,	1.3062	,	2.5575		
Addvertex,	0.5685	,	1.3761	,	2.3887		
Addvertex,	0.5685	,	1.4000	,	2.2075		
AddFace,	0	,	13	,	14	,	1
AddFace,	1	,	14	,	15	,	2
AddFace,	2	,	15	,	16	,	3
AddFace,	3	,	16	,	17	,	4
AddFace,	4	,	17	,	18	,	5
AddFace,	5	,	18	,	19	,	6
AddFace,	6	,	19	,	20	,	7
AddFace,	7	,	20	,	21	,	8
AddFace,	8	,	21	,	22	,	9
AddFace,	9	,	22	,	23	,	10
AddFace,	10	,	23	,	24	,	11
AddFace,	11	,	24	,	25	,	12
GenerateNormals							
LoadTexture ,tread.bmp							
SetTextureCoordinates,	0	,	0	,	0		
SetTextureCoordinates,	1	,	0.083333	,	0		
SetTextureCoordinates,	2	,	0.166666	,	0		
SetTextureCoordinates,	3	,	0.249999	,	0		
SetTextureCoordinates,	4	,	0.333332	,	0		
SetTextureCoordinates,	5	,	0.416665	,	0		
SetTextureCoordinates,	6	,	0.499998	,	0		
SetTextureCoordinates,	7	,	0.583331	,	0		
SetTextureCoordinates,	8	,	0.666664	,	0		
SetTextureCoordinates,	9	,	0.749997	,	0		
SetTextureCoordinates,	10	,	0.83333	,	0		
SetTextureCoordinates,	11	,	0.916663	,	0		
SetTextureCoordinates,	12	,	1	,	0		
SetTextureCoordinates,	13	,	0	,	1		
SetTextureCoordinates,	14	,	0.083333	,	1		
SetTextureCoordinates,	15	,	0.166666	,	1		
SetTextureCoordinates,	16	,	0.249999	,	1		
SetTextureCoordinates,	17	,	0.333332	,	1		
SetTextureCoordinates,	18	,	0.416665	,	1		
SetTextureCoordinates,	19	,	0.499998	,	1		
SetTextureCoordinates,	20	,	0.583331	,	1		
SetTextureCoordinates,	21	,	0.666664	,	1		
SetTextureCoordinates,	22	,	0.749997	,	1		
SetTextureCoordinates,	23	,	0.83333	,	1		
SetTextureCoordinates,	24	,	0.916663	,	1		
SetTextureCoordinates,	25	,	1	,	1		
CreateMeshBuilder							
Addvertex,	0.4885	,	1.4150	,	2.2075		
Addvertex,	0.4885	,	1.3906	,	2.0224		
Addvertex,	0.4885	,	1.3192	,	1.8500		
Addvertex,	0.4885	,	1.2056	,	1.7019		
Addvertex,	0.4885	,	1.0575	,	1.5883		
Addvertex,	0.4885	,	0.8851	,	1.5169		
Addvertex,	0.4885	,	0.7000	,	1.4925		
Addvertex,	0.4885	,	0.5149	,	1.5169		
Addvertex,	0.4885	,	0.3425	,	1.5883		
Addvertex,	0.4885	,	0.1944	,	1.7019		
Addvertex,	0.4885	,	0.0808	,	1.8500		
Addvertex,	0.4885	,	0.0094	,	2.0224		
Addvertex,	0.4885	,	-0.0150	,	2.2075		
Addvertex,	0.5685	,	1.4000	,	2.2075		
Addvertex,	0.5685	,	1.3761	,	2.0263		
Addvertex,	0.5685	,	1.3062	,	1.8575		
Addvertex,	0.5685	,	1.1950	,	1.7125		
Addvertex,	0.5685	,	1.0500	,	1.6013		
Addvertex,	0.5685	,	0.8812	,	1.5314		
Addvertex,	0.5685	,	0.7000	,	1.5075		
Addvertex,	0.5685	,	0.5188	,	1.5314		
Addvertex,	0.5685	,	0.3500	,	1.6013		
Addvertex,	0.5685	,	0.2050	,	1.7125		
Addvertex,	0.5685	,	0.0938	,	1.8575		
Addvertex,	0.5685	,	0.0239	,	2.0263		
Addvertex,	0.5685	,	0.0000	,	2.2075		
AddFace,	0	,	13	,	14	,	1
AddFace,	1	,	14	,	15	,	2
AddFace,	2	,	15	,	16	,	3
AddFace,	3	,	16	,	17	,	4
AddFace,	4	,	17	,	18	,	5
AddFace,	5	,	18	,	19	,	6
AddFace,	6	,	19	,	20	,	7
AddFace,	7	,	20	,	21	,	8
AddFace,	8	,	21	,	22	,	9
AddFace,	9	,	22	,	23	,	10
AddFace,	10	,	23	,	24	,	11
AddFace,	11	,	24	,	25	,	12
GenerateNormals							
LoadTexture ,tread.bmp							
SetTextureCoordinates,	0	,	0	,	0		
SetTextureCoordinates,	1	,	0.083333	,	0		
SetTextureCoordinates,	2	,	0.166666	,	0		
SetTextureCoordinates,	3	,	0.249999	,	0		
SetTextureCoordinates,	4	,	0.333332	,	0		
SetTextureCoordinates,	5	,	0.416665	,	0		
SetTextureCoordinates,	6	,	0.499998	,	0		
SetTextureCoordinates,	7	,	0.583331	,	0		
SetTextureCoordinates,	8	,	0.666664	,	0		
SetTextureCoordinates,	9	,	0.749997	,	0		
SetTextureCoordinates,	10	,	0.83333	,	0		
SetTextureCoordinates,	11	,	0.916663	,	0		
SetTextureCoordinates,	12	,	1	,	0		
SetTextureCoordinates,	13	,	0	,	1		
SetTextureCoordinates,	14	,	0.083333	,	1		
SetTextureCoordinates,	15	,	0.166666	,	1		
SetTextureCoordinates,	16	,	0.249999	,	1		
SetTextureCoordinates,	17	,	0.333332	,	1		
SetTextureCoordinates,	18	,	0.416665	,	1		
SetTextureCoordinates,	19	,	0.499998	,	1		
SetTextureCoordinates,	20	,	0.583331	,	1		
SetTextureCoordinates,	21	,	0.666664	,	1		
SetTextureCoordinates,	22	,	0.749997	,	1		
SetTextureCoordinates,	23	,	0.83333	,	1		
SetTextureCoordinates,	24	,	0.916663	,	1		
SetTextureCoordinates,	25	,	1	,	1		
;フランジ	高さ	0.05					
CreateMeshBuilder							
Addvertex,	0.4885	,	1.4650	,	2.2075		
Addvertex,	0.4885	,	1.4389	,	2.4016		
Addvertex,	0.4885	,	1.3625	,	2.5825		
Addvertex,	0.4885	,	1.2409	,	2.7378		
Addvertex,	0.4885	,	1.0825	,	2.8570		
Addvertex,	0.4885	,	0.8980	,	2.9319		
Addvertex,	0.4885	,	0.7000	,	2.9575		
Addvertex,	0.4885	,	0.5020	,	2.9319		
Addvertex,	0.4885	,	0.3175	,	2.8570		
Addvertex,	0.4885	,	0.1591	,	2.7378		
Addvertex,	0.4885	,	0.0375	,	2.5825		
Addvertex,	0.4885	,	-0.0389	,	2.4016		
Addvertex,	0.4885	,	-0.0650	,	2.2075		
Addvertex,	0.4885	,	1.4150	,	2.2075		
Addvertex,	0.4885	,	1.3906	,	2.3887		
Addvertex,	0.4885	,	1.3192	,	2.5575		
Addvertex,	0.4885	,	1.2056	,	2.7025		
Addvertex,	0.4885	,	1.0575	,	2.8137		
Addvertex,	0.4885	,	0.8851	,	2.8836		
Addvertex,	0.4885	,	0.7000	,	2.9075		
Addvertex,	0.4885	,	0.5149	,	2.8836		
Addvertex,	0.4885	,	0.3425	,	2.8137		
Addvertex,	0.4885	,	0.1944	,	2.7025		
Addvertex,	0.4885	,	0.0808	,	2.5575		
Addvertex,	0.4885	,	0.0094	,	2.3887		
Addvertex,	0.4885	,	-0.0150	,	2.2075		
AddFace2,	0	,	13	,	14	,	1
AddFace2,	1	,	14	,	15	,	2
AddFace2,	2	,	15	,	16	,	3
AddFace2,	3	,	16	,	17	,	4
AddFace2,	4	,	17	,	18	,	5
AddFace2,	5	,	18	,	19	,	6
AddFace2,	6	,	19	,	20	,	7
AddFace2,	7	,	20	,	21	,	8
AddFace2,	8	,	21	,	22	,	9
AddFace2,	9	,	22	,	23	,	10
AddFace2,	10	,	23	,	24	,	11
AddFace2,	11	,	24	,	25	,	12
GenerateNormals							
LoadTexture ,tread.bmp							
SetTextureCoordinates,	0	,	0	,	0		
SetTextureCoordinates,	1	,	0.083333	,	0		
SetTextureCoordinates,	2	,	0.166666	,	0		
SetTextureCoordinates,	3	,	0.249999	,	0		
SetTextureCoordinates,	4	,	0.333332	,	0		
SetTextureCoordinates,	5	,	0.416665	,	0		
SetTextureCoordinates,	6	,	0.499998	,	0		
SetTextureCoordinates,	7	,	0.583331	,	0		
SetTextureCoordinates,	8	,	0.666664	,	0		
SetTextureCoordinates,	9	,	0.749997	,	0		
SetTextureCoordinates,	10	,	0.83333	,	0		
SetTextureCoordinates,	11	,	0.916663	,	0		
SetTextureCoordinates,	12	,	1	,	0		
SetTextureCoordinates,	13	,	0	,	1		
SetTextureCoordinates,	14	,	0.083333	,	1		
SetTextureCoordinates,	15	,	0.166666	,	1		
SetTextureCoordinates,	16	,	0.249999	,	1		
SetTextureCoordinates,	17	,	0.333332	,	1		
SetTextureCoordinates,	18	,	0.416665	,	1		
SetTextureCoordinates,	19	,	0.499998	,	1		
SetTextureCoordinates,	20	,	0.583331	,	1		
SetTextureCoordinates,	21	,	0.666664	,	1		
SetTextureCoordinates,	22	,	0.749997	,	1		
SetTextureCoordinates,	23	,	0.83333	,	1		
SetTextureCoordinates,	24	,	0.916663	,	1		
SetTextureCoordinates,	25	,	1	,	1		
CreateMeshBuilder							
Addvertex,	0.4885	,	-0.0650	,	2.2075		
Addvertex,	0.4885	,	-0.0389	,	2.0134		
Addvertex,	0.4885	,	0.0375	,	1.8325		
Addvertex,	0.4885	,	0.1591	,	1.6772		
Addvertex,	0.4885	,	0.3175	,	1.5580		
Addvertex,	0.4885	,	0.5020	,	1.4831		
Addvertex,	0.4885	,	0.7000	,	1.4575		
Addvertex,	0.4885	,	0.8980	,	1.4831		
Addvertex,	0.4885	,	1.0825	,	1.5580		
Addvertex,	0.4885	,	1.2409	,	1.6772		
Addvertex,	0.4885	,	1.3625	,	1.8325		
Addvertex,	0.4885	,	1.4389	,	2.0134		
Addvertex,	0.4885	,	1.4650	,	2.2075		
Addvertex,	0.4885	,	-0.0150	,	2.2075		
Addvertex,	0.4885	,	0.0094	,	2.0263		
Addvertex,	0.4885	,	0.0808	,	1.8575		
Addvertex,	0.4885	,	0.1944	,	1.7125		
Addvertex,	0.4885	,	0.3425	,	1.6013		
Addvertex,	0.4885	,	0.5149	,	1.5314		
Addvertex,	0.4885	,	0.7000	,	1.5075		
Addvertex,	0.4885	,	0.8851	,	1.5314		
Addvertex,	0.4885	,	1.0575	,	1.6013		
Addvertex,	0.4885	,	1.2056	,	1.7125		
Addvertex,	0.4885	,	1.3192	,	1.8575		
Addvertex,	0.4885	,	1.3906	,	2.0263		
Addvertex,	0.4885	,	1.4150	,	2.2075		
AddFace2,	0	,	13	,	14	,	1
AddFace2,	1	,	14	,	15	,	2
AddFace2,	2	,	15	,	16	,	3
AddFace2,	3	,	16	,	17	,	4
AddFace2,	4	,	17	,	18	,	5
AddFace2,	5	,	18	,	19	,	6
AddFace2,	6	,	19	,	20	,	7
AddFace2,	7	,	20	,	21	,	8
AddFace2,	8	,	21	,	22	,	9
AddFace2,	9	,	22	,	23	,	10
AddFace2,	10	,	23	,	24	,	11
AddFace2,	11	,	24	,	25	,	12
GenerateNormals							
LoadTexture ,tread.bmp							
SetTextureCoordinates,	0	,	0	,	0		
SetTextureCoordinates,	1	,	0.083333	,	0		
SetTextureCoordinates,	2	,	0.166666	,	0		
SetTextureCoordinates,	3	,	0.249999	,	0		
SetTextureCoordinates,	4	,	0.333332	,	0		
SetTextureCoordinates,	5	,	0.416665	,	0		
SetTextureCoordinates,	6	,	0.499998	,	0		
SetTextureCoordinates,	7	,	0.583331	,	0		
SetTextureCoordinates,	8	,	0.666664	,	0		
SetTextureCoordinates,	9	,	0.749997	,	0		
SetTextureCoordinates,	10	,	0.83333	,	0		
SetTextureCoordinates,	11	,	0.916663	,	0		
SetTextureCoordinates,	12	,	1	,	0		
SetTextureCoordinates,	13	,	0	,	1		
SetTextureCoordinates,	14	,	0.083333	,	1		
SetTextureCoordinates,	15	,	0.166666	,	1		
SetTextureCoordinates,	16	,	0.249999	,	1		
SetTextureCoordinates,	17	,	0.333332	,	1		
SetTextureCoordinates,	18	,	0.416665	,	1		
SetTextureCoordinates,	19	,	0.499998	,	1		
SetTextureCoordinates,	20	,	0.583331	,	1		
SetTextureCoordinates,	21	,	0.666664	,	1		
SetTextureCoordinates,	22	,	0.749997	,	1		
SetTextureCoordinates,	23	,	0.83333	,	1		
SetTextureCoordinates,	24	,	0.916663	,	1		
SetTextureCoordinates,	25	,	1	,	1		
;第三動輪							
;開始位置:	4.2075	半径	0.715	m	高さ	0.08	m
;開始高さ:	0.5685	下の半径	0.7	m			
CreateMeshBuilder							
Addvertex,	-0.4885	,	1.4150	,	3.7575		
Addvertex,	-0.4885	,	1.3906	,	3.9426		
Addvertex,	-0.4885	,	1.3192	,	4.1150		
Addvertex,	-0.4885	,	1.2056	,	4.2631		
Addvertex,	-0.4885	,	1.0575	,	4.3767		
Addvertex,	-0.4885	,	0.8851	,	4.4481		
Addvertex,	-0.4885	,	0.7000	,	4.4725		
Addvertex,	-0.4885	,	0.5149	,	4.4481		
Addvertex,	-0.4885	,	0.3425	,	4.3767		
